Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
413,1.5,-0.3125,0.75,-0.1894531,0.06005859,0.9975586,0.06835938,-0.1152344,-0.2163086
415,1.75,-0.5625,0.75,-0.1855469,0.05615234,0.9858398,0.06689453,-0.1166992,-0.2133789
416,1.75,-0.6875,0.875,-0.1855469,0.06396484,0.9858398,0.06689453,-0.1166992,-0.2133789
418,1.6875,-0.5625,0.625,-0.1816406,0.06396484,0.9819336,0.06689453,-0.1152344,-0.2192383
419,1.625,-0.625,0.6875,-0.1816406,0.06787109,0.9819336,0.06982422,-0.1166992,-0.2192383
421,1.4375,-0.6875,0.75,-0.1855469,0.06787109,0.9819336,0.06982422,-0.1166992,-0.2192383
422,1.375,-0.3125,0.5,-0.1894531,0.07177734,0.9819336,0.06835938,-0.1152344,-0.2133789
424,1.125,-0.3125,0.5,-0.1816406,0.06396484,0.9780273,0.06835938,-0.1181641,-0.2163086
425,1.1875,-0.4375,0.4375,-0.1855469,0.06396484,0.9780273,0.06835938,-0.1181641,-0.2163086
427,1.0625,-0.1875,0.3125,-0.1855469,0.07177734,0.9819336,0.06835938,-0.1181641,-0.2177734
428,0.75,-0.375,0.1875,-0.1816406,0.06787109,0.9858398,0.06689453,-0.1181641,-0.2148438
430,0.8125,-0.25,0.3125,-0.1855469,0.06396484,0.9858398,0.06689453,-0.1181641,-0.2148438
431,0.6875,-0.4375,0.1875,-0.1855469,0.06787109,0.9897461,0.06835938,-0.1166992,-0.2148438
433,0.75,-0.5,0.125,-0.1777344,0.06396484,0.9819336,0.06689453,-0.1166992,-0.2148438
434,0.375,-0.3125,0.125,-0.1816406,0.06396484,0.9819336,0.06689453,-0.1166992,-0.2148438
436,0.3125,-0.25,0,-0.1777344,0.06787109,0.9897461,0.06982422,-0.1152344,-0.2163086
437,0.4375,-0.125,0.0625,-0.1928711,0.06005859,0.9858398,0.06689453,-0.1152344,-0.2148438
439,0.4375,-0.25,0,-0.1855469,0.06005859,0.9858398,0.06689453,-0.1152344,-0.2148438
440,0.375,-0.5,0,-0.1855469,0.06396484,0.9897461,0.06835938,-0.1152344,-0.2148438
442,0.625,-0.4375,0,-0.1816406,0.06396484,0.9858398,0.06835938,-0.1166992,-0.2148438
443,0.1875,-0.375,-0.125,-0.1894531,0.06396484,0.9897461,0.06835938,-0.1166992,-0.2148438
445,0.25,-0.3125,0.1875,-0.1777344,0.06396484,0.9897461,0.06689453,-0.1166992,-0.2133789
446,0.375,-0.4375,0,-0.1855469,0.06005859,0.9858398,0.06835938,-0.1166992,-0.2148438
448,0.1875,-0.625,0,-0.1816406,0.06787109,0.9858398,0.06835938,-0.1166992,-0.2148438
449,0.375,-0.375,0,-0.1894531,0.06396484,0.9897461,0.06689453,-0.1152344,-0.2192383
451,0.125,-0.5,0.1875,-0.1816406,0.06396484,0.9819336,0.06689453,-0.1166992,-0.2163086
452,0.0625,-0.3125,-0.0625,-0.1816406,0.06396484,0.9897461,0.06689453,-0.1166992,-0.2163086
454,-0.125,-0.25,0,-0.1855469,0.06396484,0.9936523,0.06835938,-0.1166992,-0.2163086
455,0.0625,-0.0625,0,-0.1894531,0.06396484,0.9858398,0.06835938,-0.1166992,-0.2177734
457,0,-0.125,-0.0625,-0.1855469,0.06396484,0.9897461,0.06835938,-0.1166992,-0.2177734
458,-0.0625,0,0,-0.1894531,0.06005859,0.9780273,0.06835938,-0.1152344,-0.2148438
460,-0.0625,0.0625,0,-0.1855469,0.06787109,0.9897461,0.06982422,-0.1152344,-0.2163086
461,0,0.125,0,-0.1816406,0.06005859,0.9858398,0.06982422,-0.1152344,-0.2163086
463,-0.25,-0.1875,-0.1875,-0.1855469,0.06787109,0.9897461,0.06689453,-0.1152344,-0.2148438
464,-0.1875,0.0625,-0.125,-0.1777344,0.06787109,0.9897461,0.06982422,-0.1181641,-0.2148438
